"Date","Price (Close)","Circulating Marketcap","Realized Marketcap"
"2021-05-03","57208.999007537015","1059024238493.0177","367924880791.2904"
"2021-05-02","56618.21143400628","1081468631195.1222","366963208876.71"
"2021-05-01","57848.18335731653","1080253172449.9213","366434439636.8498"
"2021-04-30","57757.149216718026","1001965083491.2924","365817865349.1189"
"2021-04-29","53601.028740556045","1026278151227.582","363765983442.41"
"2021-04-28","54885.987241841285","1029848094135.6022","362516035290.3053"
"2021-04-27","55138.20775088843","1010861821842.8984","361861612346.4473"
"2021-04-26","54048.7475238507","918525253254.7574","360177204528.20807"
"2021-04-25","49121.76911367408","936997479371.8572","358792309263.8519"
"2021-04-24","50111.389278774164","956739338053.2574","358805137388.224"
"2021-04-23","51229.06348900155","966681211604.3765","358128779232.3552"
"2021-04-22","51710.002078321646","1005718632466.6759","357839722701.05743"
"2021-04-21","53923.201927633025","1056073093263.1616","357193534792.00037"
"2021-04-20","56561.3490420926","1041057453379.656","357098265911.19366"
"2021-04-19","55686.67921487487","1051107554436.4174","356373522447.34045"
"2021-04-18","56304.31980801012","1122327859191.7876","355991570315.2288"
"2021-04-17","60056.664031279106","1147840709324.7808","352023513703.3893"
"2021-04-16","61412.750765440775","1182668889834.8066","351095563422.86975"
